,task_name,none,any_evo
0,"eval_fitness, ant",69.78201293945312,68.37895202636719
1,"eval_fitness, humanoid",8.983256340026855,9.773061752319336
2,"diversity, ant",0.22041015625,0.225
3,"diversity, humanoid",0.009548611111111112,0.013129340277777778
4,"entropy, ant",8.299605672716513,8.352396754340557
5,"entropy, humanoid",4.917310469846097,5.682135807076659
6,"QD, ant",5237.94677734375,5297.97607421875
7,"QD, humanoid",49.50970458984375,83.52582550048828
8,"ED, ant",183.40091189033618,190.54412541938936
9,"ED, humanoid",15.090164808455562,18.197764740012843
