,task_name,full,only_selection,only_update,none
0,"eval_fitness, ant",30.631534576416016,68.37895202636719,28.73390769958496,69.78201293945312
1,"eval_fitness, humanoid",8.53516674041748,9.773061752319336,7.280045986175537,8.983256340026855
2,"diversity, ant",0.13984375,0.225,0.12275390625,0.22041015625
3,"diversity, humanoid",0.013129340277777778,0.00966796875,0.01162109375,0.009548611111111112
4,"entropy, ant",8.352396754340557,8.32225453744969,8.334713173217768,8.299605672716513
5,"entropy, humanoid",5.682135807076659,5.0979944501238545,5.348554912564539,4.917310469846097
6,"QD, ant",2777.87646484375,5297.97607421875,2381.47216796875,5237.94677734375
7,"QD, humanoid",83.52582550048828,54.77672576904297,65.1989517211914,49.50970458984375
8,"ED, ant",134.1782376294281,190.54412541938936,114.28612183525176,183.40091189033618
9,"ED, humanoid",18.197764740012843,15.100770477556102,15.231404255365367,15.090164808455562
